time,chamber_press,chamber_press_adc_raw,chamber_temp,thrust
11851,-0.07488713413476944,4779,26.75,-0.0026115697011351584
11863,-0.04974975809454918,4786,26.75,-0.005563778890371324
11874,-0.10720603168010712,4770,26.75,-0.004314767141640186
11886,-0.08566044270992279,4776,26.75,-0.006926336842775346
11897,-0.046157967299222946,4787,26.75,-0.007834708811044692
11908,-0.08925017714500427,4775,26.75,-0.0012490116025507452
11920,-0.1107998788356781,4769,26.75,-0.003065755685269833
11931,-0.04974975809454918,4786,26.75,-0.01601005769491196
11943,-0.08925017714500427,4775,26.75,-0.008515987787246704
11954,-0.12516085803508759,4765,26.75,-0.0024980232051014903
11966,-0.06411382555961609,4782,26.75,-0.005677325386404992
11977,-0.08206865936517715,4777,26.75,-0.001135465033426881
11989,-0.11798139661550522,4767,26.75,0.003633488165438175
12000,-0.06052306666970253,4783,26.75,-0.005109592906236649
12011,-0.08206865936517715,4777,26.75,-0.006131511370539666
12023,-0.11798139661550522,4767,26.75,-0.00011354650516994297
12034,-0.06052306666970253,4783,26.75,0.004201220645606518
12046,-0.0569312758743763,4784,26.75,0.0031793021813035015
12057,-0.10002657026052475,4772,26.75,0.002952209189236164
12069,-0.07488713413476944,4779,26.75,0.00011354650516994297
12080,-0.03179287165403366,4791,26.75,-0.0004541860206797719
12092,-0.10002657026052475,4772,26.75,0.0010219185373932123
12103,-0.07847686856985092,4778,26.75,-0.002838662693202496
12114,-0.03897644579410553,4789,26.75,-0.005677325386404992
12126,-0.10361630469560623,4771,26.75,-0.003747034661471844
12137,-0.07488713413476944,4779,26.75,-0.003065755685269833
12149,-0.04256823658943176,4788,26.75,-0.0009083720413595438
12160,-0.09643375128507614,4773,26.75,-0.0007948255453258754
12172,-0.09643375128507614,4773,26.75,-0.006472150858640671
12183,-0.04974975809454918,4786,26.75,-0.010786917707920077
12194,-0.08566044270992279,4776,26.75,-0.006472150858640671
12206,-0.11798139661550522,4767,26.75,0.005223139402270317
12217,-0.06411382555961609,4782,26.75,-0.002952209189236164
12229,-0.08206865936517715,4777,26.75,-0.008402441291213036
12240,-0.11798139661550522,4767,26.75,-0.012376568652391434
12252,-0.06052306666970253,4783,26.75,-0.004314767141640186
12263,-0.08566044270992279,4776,26.75,-0.005336685898303986
12275,-0.1107998788356781,4769,27.0,-0.0019302905787527563
12286,-0.06770561635494232,4781,27.0,-0.004314767141640186
12297,-0.06770561635494232,4781,27.0,-0.006245057866573335
12309,-0.1107998788356781,4769,27.0,-0.011354650772809984
12320,-0.06052306666970253,4783,27.0,-0.010446278804540634
12332,-0.046157967299222946,4787,27.0,-0.0032928486773371696
12343,-0.10720603168010712,4770,27.0,-0.002157383570820093
12355,-0.06770561635494232,4781,27.0,-0.008970173771381379
12366,-0.03538260608911514,4790,27.0,-0.004314767141640186
12378,-0.0928419679403305,4774,27.0,0.0013625580985844137
12389,-0.0569312758743763,4784,27.0,0.013739126604795456
12400,-0.03538260608911514,4790,27.0,0.0026115697011351584
12412,-0.10002657026052475,4772,27.0,-0.015101685726642609
12423,-0.0928419679403305,4774,27.0,-0.005450232394337655
12435,-0.05333948880434036,4785,27.0,-0.006472150858640671
