time,chamber_press,chamber_press_adc_raw,chamber_temp,thrust
11279,-0.11438961327075958,4768,26.75,0.0024980232051014903
11290,-0.0712953507900238,4780,26.75,-0.002952209189236164
11302,-0.04974975809454918,4786,26.75,0.0027251161971688274
11313,-0.10720603168010712,4770,26.75,-0.0012490116025507452
11325,-0.06411382555961609,4782,26.75,-0.0020438370747864246
11336,-0.04256823658943176,4788,26.75,0.00885662727534771
11347,-0.1107998788356781,4769,26.75,0.007494069322943688
11359,-0.0712953507900238,4780,26.75,0.0024980232051014903
11370,-0.04256823658943176,4788,26.75,-0.006699243850708008
11382,-0.08925017714500427,4775,26.75,-0.004087674149572849
11393,-0.07488713413476944,4779,26.75,-0.004655406629741192
11405,-0.04256823658943176,4788,26.75,0.0015896510906517507
11416,-0.08566044270992279,4776,26.75,-0.0018167440827190876
11428,-0.10361630469560623,4771,26.75,-0.00238447656288743
11439,-0.046157967299222946,4787,26.75,0.011468196684122087
11450,-0.09643375128507614,4773,26.75,0.008629534283280373
11462,-0.1215711310505867,4766,26.75,0.009424359755516053
11473,-0.05333948880434036,4785,26.75,-0.0005677325167134405
11485,-0.0928419679403305,4774,26.75,-0.0010219185373932123
11496,-0.1287536770105362,4764,26.75,-0.002952209189236164
11508,-0.06052306666970253,4783,26.75,0.0018167440827190876
11519,-0.07847686856985092,4778,26.5,-0.003974127653539181
11531,-0.11798139661550522,4767,26.5,-0.0019302905787527563
11542,-0.06052306666970253,4783,26.5,-0.008515987787246704
11553,-0.05333948880434036,4785,26.5,-0.009878545739650727
11565,-0.10720603168010712,4770,26.5,0.0026115697011351584
11576,-0.07488713413476944,4779,26.5,-0.001476104594618082
11588,-0.04256823658943176,4788,26.5,-0.0007948255453258754
11599,-0.10720603168010712,4770,26.5,0.004996046410202981
11611,-0.0712953507900238,4780,26.5,0.0015896510906517507
11622,-0.04256823658943176,4788,26.5,-0.001135465033426881
11634,-0.08925017714500427,4775,26.5,0.002838662693202496
11645,-0.07488713413476944,4779,26.5,-0.009764999243617059
11656,-0.06052306666970253,4783,26.5,-0.0005677325167134405
11668,-0.0928419679403305,4774,26.5,0.0003406395246461034
11679,-0.10361630469560623,4771,26.5,0.0004541860206797719
11691,-0.04974975809454918,4786,26.5,0.006699243850708008
11702,-0.08566044270992279,4776,26.5,0.006017964874505997
11714,-0.1215711310505867,4766,26.5,-0.003747034661471844
11725,-0.0569312758743763,4784,26.5,-0.0024980232051014903
11737,-0.07488713413476944,4779,26.5,-0.010219185812473297
11748,-0.12516085803508759,4765,26.5,-0.012944301717281342
11759,-0.05333948880434036,4785,26.5,-0.007494069322943688
11771,-0.07488713413476944,4779,26.5,0.004541860133707524
11782,-0.1107998788356781,4769,26.5,0.0010219185373932123
11794,-0.06052306666970253,4783,26.5,-0.007153429834842682
11805,-0.05333948880434036,4785,26.5,-0.0018167440827190876
11817,-0.10361630469560623,4771,26.5,-0.0013625580985844137
11828,-0.06411382555961609,4782,26.5,0.006131511370539666
11839,-0.04256823658943176,4788,26.5,0.0009083720413595438
11851,-0.09643375128507614,4773,26.5,-0.0017031975866854193
11862,-0.06770561635494232,4781,26.5,0.002157383570820093
11874,-0.03179287165403366,4791,26.5,0.003519941669404507
11885,-0.0928419679403305,4774,26.5,-0.0018167440827190876
11897,-0.07847686856985092,4778,26.5,0.0031793021813035015
11908,-0.04256823658943176,4788,26.5,0.004996046410202981
11920,-0.09643375128507614,4773,26.5,-0.009197266763448715
11931,-0.10361630469560623,4771,26.5,-0.002270930066853762
11942,-0.0569312758743763,4784,26.5,-0.0006812790492922068
11954,-0.08566044270992279,4776,26.5,-0.002270930066853762
11965,-0.13234546780586243,4763,26.5,-0.005563778890371324
11977,-0.06411382555961609,4782,26.5,-0.0007948255453258754
11988,-0.07847686856985092,4778,26.5,-0.006245057866573335
12000,-0.13234546780586243,4763,26.5,-0.0017031975866854193
12011,-0.06770561635494232,4781,26.5,-0.0020438370747864246
12023,-0.06770561635494232,4781,26.5,0.006472150858640671
